timestamp,state
0,Focused
1,Focused
2,Confused
3,Confused
4,Confused
5,Confused
6,Confused
7,Confused
8,Confused
9,Confused
10,Confused
11,Confused
12,Confused
13,Confused
14,Confused
15,Confused
16,Confused
17,Confused
18,Confused
19,Confused
20,Confused
21,Confused
22,Confused
23,Confused
24,Confused
25,Confused
26,Confused
27,Confused
28,Confused
29,Confused
